tweet_id,sentiment,content,mapped_sentiment,tokens
1956967666,sadness,Layin n bed with a headache  ughhhh...waitin on your call...,sad,"['layin', 'n', 'bed', 'with', 'a', 'headache', 'ughhhh', 'waitin', 'on', 'your', 'call']"
1956967696,sadness,Funeral ceremony...gloomy friday...,sad,"['funeral', 'ceremony', 'gloomy', 'friday']"
1956968416,neutral,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will.",neutral,"['dannycastillo', 'we', 'want', 'to', 'trade', 'with', 'someone', 'who', 'has', 'houston', 'tickets', 'but', 'no', 'one', 'will']"
1956968487,sadness,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!",sad,"['i', 'should', 'be', 'sleep', 'but', 'im', 'not', 'thinking', 'about', 'an', 'old', 'friend', 'who', 'i', 'want', 'but', 'he', 'married', 'now', 'damn', 'amp', 'he', 'wants', 'me', 'scandalous']"
1956969035,sadness,@charviray Charlene my love. I miss you,sad,"['charviray', 'charlene', 'my', 'love', 'i', 'miss', 'you']"
1956969172,sadness,@kelcouch I'm sorry  at least it's Friday?,sad,"['kelcouch', 'i', 'sorry', 'at', 'least', 'it', 'friday']"
1956969456,neutral,cant fall asleep,neutral,"['cant', 'fall', 'asleep']"
1956970047,sadness,Ugh! I have to beat this stupid song to get to the next  rude!,sad,"['ugh', 'i', 'have', 'to', 'beat', 'this', 'stupid', 'song', 'to', 'get', 'to', 'the', 'next', 'rude']"
1956970424,sadness,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,sad,"['brodyjenner', 'if', 'u', 'watch', 'the', 'hills', 'in', 'london', 'u', 'will', 'realise', 'what', 'tourture', 'it', 'is', 'because', 'were', 'weeks', 'and', 'weeks', 'late', 'i', 'just', 'watch', 'itonlinelol']"
1956971077,sadness,The storm is here and the electricity is gone,sad,"['the', 'storm', 'is', 'here', 'and', 'the', 'electricity', 'is', 'gone']"
1956971206,sadness,So sleepy again and it's not even that late. I fail once again.,sad,"['so', 'sleepy', 'again', 'and', 'it', 'not', 'even', 'that', 'late', 'i', 'fail', 'once', 'again']"
1956971586,sadness,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,sad,"['how', 'are', 'you', 'convinced', 'that', 'i', 'have', 'always', 'wanted', 'you', 'what', 'signals', 'did', 'i', 'give', 'off', 'damn', 'i', 'think', 'i', 'just', 'lost', 'another', 'friend']"
1956972116,neutral,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps,neutral,"['no', 'topic', 'maps', 'talks', 'at', 'the', 'balisage', 'markup', 'conference', 'program', 'online', 'at', 'http', 'via', 'bobdc', 'topicmaps']"
1956972359,sadness,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.,sad,"['so', 'tired', 'and', 'i', 'think', 'i', 'definitely', 'going', 'to', 'get', 'an', 'ear', 'infection', 'going', 'to', 'bed', 'quot', 'early', 'quot', 'for', 'once']"
1956972557,sadness,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",sad,"['isaacmascote', 'i', 'sorry', 'people', 'are', 'so', 'rude', 'to', 'you', 'isaac', 'they', 'should', 'get', 'some', 'manners', 'and', 'know', 'better', 'than', 'to', 'be', 'so', 'lewd']"
1956973598,sadness,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,sad,"['fudge', 'just', 'bs', 'that', 'whole', 'paper', 'so', 'tired', 'ugh', 'i', 'hate', 'school', 'time', 'to', 'sleep']"
1956975441,neutral,@cynthia_123 i cant sleep,neutral,"['i', 'cant', 'sleep']"
1956975860,neutral,I missed the bl***y bus!!!!!!!!,neutral,"['i', 'missed', 'the', 'bl', 'y', 'bus']"
